Desa/Kelurahan,Ayam Buras,Ayam Ras Pedaging,Ayam Ras Petelur,Itik
Bira,3546,-,-,-
Darubiah,4065,-,-,-
Tanah Lemo,3842,-,-,608
Ara,3213,-,-,-
Lembanna,4150,-,-,-
Tanah Beru,2215,167900,1584,330
Sapolohe,4249,54900,-,537
Benjala,6331,29100,-,443
Bonto Bahari,31611,251900,1584,1918
