Desa/Kelurahan,Lahan Sawah,Lahan Kering,Jumlah
Bira,-,1950,1950
Darubiah,-,1685,1695
Tanah Lemo,-,1595,1595
Ara,-,1339,1399
Lembanna,-,1171,1171
Tanah Beru,-,705,705
Sapolohe,-,715,715
Benjala,63,1570,1633
Bonto Bahari,63,10730,10793
