Jenis Tanaman,Luas Panen (ha),Produksi (ton)
Karet,-,-
Kelapa,974,167.46
Cengkeh,-,-
Kopi,-,-
Lada,9,2.33
Pala,-,-
Kakao,117,39.92
Jambu,33,51.26
