Jenis Tanaman,Luas Tanam (ha),Luas Panen (ha),Produksi (ton),Produktivitas (kw/ha)
Padi Sawah,111,111,?,?
Jagung,2990,3490,?,?
Kacang Kedelai,75,75,?,?
Kacang Tanah,330,570,?,?
Kacang Hijau,-,-,?,?
Ubi Kayu,2,4,?,?
Ubi Jalar,4,2,?,?
Bawang Merah,12,36,?,?
Cabe,12,76,?,?
Kacang Panjang,-,-,?,?
Kankung,-,-,?,?
Terung,-,-,?,?
