Jenis Perikanan,2013,2014,2015,2016,2017
i. Perikanan Laut,5792,9383,9252,9013,8857
ii. Perikanan Budidaya,3952,31037,35844,35943,35013.7
Tambak,195,349,404,437,630.7
Kolam,-,-,-,-,-
Sawah,-,-,-,-,-
Laut,3757,30688,35440,35506,34383
