Desa/Kelurahan,Ayam Buras,Ayam Ras Pedaging,Ayam Ras Petelur,Itik
Bira,3613,-,-,-
Darubiah,4142,-,-,-
Tanah Lemo,3914,-,-,626
Ara,3274,-,-,-
Lembanna,4228,-,-,-
Tanah Beru,2575,186728,25646,341
Sapolohe,4329,61056,-,553
Benjala,6450,32363,-,456
Bonto Bahari,32207,280147,25646,1976
