Desa/Kelurahan,Sapi,Kuda,Kerbau,Kambing
Bira,71,-,-,343
Darubiah,713,13,-,409
Tanah Lemo,434,183,-,470
Ara,780,54,-,986
Lembanna,14,19,-,198
Tanah Beru,205,179,-,509
Sapolohe,108,17,7,121
Benjala,534,529,-,1275
Bonto Bahari,2859,994,7,4311
