Jenis Perikanan,2010,2011,2012,2013,2014
i. Perikanan Laut,5301,5373,5679,5679,5792
ii. Perikanan Budidaya,3557,4244,3807,4055,3952
Tambak,431,1958,2249,163,195
Kolam,-,-,-,-,-
Sawah,-,-,-,-,-
Laut,1599,1599,3572,1220,3757
