Jenis Tanaman,Luas Tanam (ha),Luas Panen (ha),Produksi (ton),Produktivitas (kw/ha)
Padi,126,118,654.57,55.47
Jagung,6401,4891,16945.43,44.93
Kacang Kedelai,101,94,217.42,23.13
Kacang Tanah,1425,1425,3294.6,23.12
Kacang Hijau,19,19,17.25,9.22
Ubi Kayu,65,66,990,150
Ubi Jalar,14,14,154,110
Bawang Merah,6,6,61.2,36.36
Cabe,1,1,1.8,37.22
Kacang Panjang,8,8,23.6,36.49
Kankung,8,8,4.3,33.74
Terung,4,4,19.6,30.24
