Jenis Tanaman,Luas Panen (ha),Produksi (ton)
Karet,-,-
Kelapa Hybrida,60,38.16
Kelapa Dalam,909,130.55
Cengkeh,-,-
Kopi,-,-
Lada,9,2.39
Pala,-,-
Kakao,117,38.97
Jambu Mete,33,49.73
