Jenis Perikanan,2014,2015,2016,2017,2018
i. Perikanan Laut,9383,9252,9013,8857,9561
ii. Perikanan Budidaya,31037,35844,35943,35013.7,41847.10
Tambak,349,404,437,630.7,754.10
Kolam,-,-,-,-,-
Sawah,-,-,-,-,-
Laut,30688,35440,35506,34383,41093
