Jenjang	Sekolah	Kecematan	< 7	7-12	> 12	< 13	13-15	>15	<16	16-18	>18	
SD	SD NEGERI 141 SALU-SALU	Kec. Bontotiro	6	69	1	-	-	-	-	-	-	
SD	SD NEGERI 297 MATEKKO	Kec. Gantarang	8	129	4	-	-	-	-	-	-	
SD	SDN 1 TERANG-TERANG	Kec. Ujung Bulu	10	161	0	-	-	-	-	-	-	
SD	SD NEGERI 222 DANNUANG	Kec. Ujung Loe	18	206	4	-	-	-	-	-	-	
SD	SD NEGERI NO. 98 BONTOMANAI	Kec. Rilau Ale	26	267	4	-	-	-	-	-	-	
SD	SD NEGERI 311 LURAYA	Kec. Kajang	8	116	16	-	-	-	-	-	-	
SD	SD NEGERI 94 BALIMBING	Kec. Rilau Ale	11	140	5	-	-	-	-	-	-	
SD	SD NEGERI 293 TANAHKONGKONG	Kec. Ujung Bulu	19	146	5	-	-	-	-	-	-	
SD	SD NEGERI 26 MATEKKO	Kec. Gantarang	29	295	7	-	-	-	-	-	-	
SD	SD NEGERI 281 SUMALAYA	Kec. Kajang	13	158	5	-	-	-	-	-	-	
SD	SD NEGERI 290 TAHEBATU	Kec. Bontotiro	1	53	2	-	-	-	-	-	-	
SD	SD NEGERI 227 BONTOMACINNA	Kec. Gantarang	0	173	25	-	-	-	-	-	-	
SD	SD NEGERI 113 DANGGAREHANG	Kec. Kajang	0	61	3	-	-	-	-	-	-	
SD	SD NEGERI 158 BENJALA	Kec. Bontobahari	8	107	3	-	-	-	-	-	-	
SD	SD NEGERI 196 TRITIRO	Kec. Bontotiro	1	54	0	-	-	-	-	-	-	
SD	SD NEGERI 83 PANGI-PANGI	Kec. Rilau Ale	19	169	2	-	-	-	-	-	-	
SD	SD NEGERI 65 BALANGRIRI	Kec. Bulukumpa	19	142	1	-	-	-	-	-	-	
SD	SD NEGERI 346 TIMBULA	Kec. Bontotiro	4	24	1	-	-	-	-	-	-	
SD	SD NEGERI 319 LOKAJAHA	Kec. Bontotiro	9	74	1	-	-	-	-	-	-	
SD	SD NEGERI 9 TANAH KONGKONG	Kec. Ujung Bulu	9	207	5	-	-	-	-	-	-	
SD	SD NEGERI 19 MANYAMPA	Kec. Ujung Loe	11	130	3	-	-	-	-	-	-	
SD	SD NEGERI 244 SALASSAE	Kec. Bulukumpa	7	81	0	-	-	-	-	-	-	
SD	SD NEGERI 254 BANYORO	Kec. Herlang	11	65	0	-	-	-	-	-	-	
SD	SD NEGERI 263 TANAH LEMO	Kec. Bontobahari	12	127	6	-	-	-	-	-	-	
SD	SD NEGERI 157 PASARAYA	Kec. Bontobahari	15	153	8	-	-	-	-	-	-	
SD	SD NEGERI 130 BONTOBEANG	Kec. Herlang	0	89	1	-	-	-	-	-	-	
SD	SD NEGERI 320 MARAKKIUNG	Kec. Bontotiro	4	35	1	-	-	-	-	-	-	
SD	SD NEGERI 191 LEMBANNA	Kec. Kajang	14	55	1	-	-	-	-	-	-	
SD	SD NEGERI NO 6 KASUARA	Kec. Ujung Bulu	18	202	6	-	-	-	-	-	-	
SD	SD NEGERI 312 SAPAYA	Kec. Kajang	0	144	26	-	-	-	-	-	-	
SD	SD NEGERI 131 BONTO BANA	Kec. Herlang	0	79	1	-	-	-	-	-	-	
SD	SD NEGERI 86 LONGI	Kec. Rilau Ale	6	99	2	-	-	-	-	-	-	
SD	SD NEGERI 45 DAMPANG	Kec. Gantarang	9	130	2	-	-	-	-	-	-	
SD	SD NEGERI 120 BAJANG	Kec. Herlang	3	103	8	-	-	-	-	-	-	
SD	SD NEGERI 233 DAMPANG	Kec. Gantarang	11	125	2	-	-	-	-	-	-	
SD	SD NEGERI 72 BAMBAUNGANG	Kec. Bulukumpa	8	44	0	-	-	-	-	-	-	
SD	SD NEGERI 22 ALLU	Kec. Ujung Loe	14	176	0	-	-	-	-	-	-	
SD	SDN 353 ULUPARANG	Kec. Kindang	15	127	2	-	-	-	-	-	-	
SD	SD NEGERI 87 BUTTAKEKE	Kec. Rilau Ale	17	175	3	-	-	-	-	-	-	
SD	SD NEGERI 313 PAPINJENG	Kec. Kajang	7	69	2	-	-	-	-	-	-	
SD	SD NEGERI 88 BATUKAROPA	Kec. Rilau Ale	12	113	3	-	-	-	-	-	-	
SD	SD NEGERI 190 TANAH JAYA	Kec. Kajang	1	48	10	-	-	-	-	-	-	
SD	SD NEGERI 149 TAMALALA	Kec. Bontotiro	1	93	4	-	-	-	-	-	-	
SD	SD NEGERI 345 SAMAKORE	Kec. Bontotiro	9	49	4	-	-	-	-	-	-	
SD	SD NEGERI 161 ARA	Kec. Bontobahari	0	110	4	-	-	-	-	-	-	
SD	SD NEGERI 210 BONTOMINASA	Kec. Bulukumpa	16	151	2	-	-	-	-	-	-	
SD	SD NEGERI 91 MUNTE	Kec. Bulukumpa	0	86	2	-	-	-	-	-	-	
SD	SD NEGERI 64 BALANGBESSI	Kec. Bulukumpa	0	83	6	-	-	-	-	-	-	
SD	SD NEGERI 255 PARANGLOHE	Kec. Herlang	4	54	0	-	-	-	-	-	-	
SD	SD NEGERI 116 USA	Kec. Kajang	6	78	2	-	-	-	-	-	-	
SD	SD NEGERI 267 DAULELE	Kec. Kajang	11	91	2	-	-	-	-	-	-	
SD	SD NEGERI .172 BORONGKALUKUE	Kec. Ujung Bulu	12	250	5	-	-	-	-	-	-	
SD	SD NEGERI 162 ARA	Kec. Bontobahari	0	96	12	-	-	-	-	-	-	
SD	SD NEGERI 153 TOMBOLO	Kec. Bontotiro	3	78	6	-	-	-	-	-	-	
SD	SD NEGERI 100 CENTRE KAJANG	Kec. Kajang	37	213	4	-	-	-	-	-	-	
SD	SD NEGERI 181 TANAHKONGKONG	Kec. Ujung Bulu	29	200	1	-	-	-	-	-	-	
SD	SD NEGERI 118 LEMBANG TUMBU	Kec. Herlang	14	84	2	-	-	-	-	-	-	
SD	SD NEGERI 103 KALIMPORO	Kec. Kajang	17	147	0	-	-	-	-	-	-	
SD	SDN 277 PANGI-PANGI	Kec. Rilau Ale	14	81	0	-	-	-	-	-	-	
SD	SD NEGERI 260 EREKEKE	Kec. Bontotiro	0	42	1	-	-	-	-	-	-	
SD	SD NEGERI 276 CAMPULEA	Kec. Rilau Ale	6	124	1	-	-	-	-	-	-	
SD	SD NEGERI 228 GATTARENG	Kec. Gantarang	11	79	2	-	-	-	-	-	-	
SD	SD NEGERI 315 KAROSI	Kec. Herlang	0	102	3	-	-	-	-	-	-	
SD	SD NEGERI 329 PALAMBARAE	Kec. Gantarang	22	211	7	-	-	-	-	-	-	
SD	SD NEGERI 300 BONTO TANAE	Kec. Gantarang	14	111	3	-	-	-	-	-	-	
SD	SD NEGERI 95 BONTOBULAENG	Kec. Bulukumpa	0	70	3	-	-	-	-	-	-	
SD	SD NEGERI 20 MANYAMPA	Kec. Ujung Loe	1	100	8	-	-	-	-	-	-	
SD	SD NEGERI 179 TANAH BERU	Kec. Bontobahari	28	236	5	-	-	-	-	-	-	
SD	SD NEGERI 104 JANNAYA	Kec. Kajang	1	122	4	-	-	-	-	-	-	
SD	SD NEGERI 219 ARA	Kec. Bontobahari	3	48	0	-	-	-	-	-	-	
SD	SD NEGERI 13 SALEMBA	Kec. Ujung Loe	26	154	6	-	-	-	-	-	-	
SD	SD NEGERI 306 MARANA	Kec. Rilau Ale	4	37	1	-	-	-	-	-	-	
SD	SD NEGERI 236 KINDANG	Kec. Kindang	8	84	1	-	-	-	-	-	-	
SD	SD NEGERI 134 KALUMPANG	Kec. Bontotiro	8	47	1	-	-	-	-	-	-	
SD	SD NEGERI 283 GANTING	Kec. Kajang	12	135	8	-	-	-	-	-	-	
SD	SD NEGERI 128 TURUNGAN BERU	Kec. Herlang	0	197	17	-	-	-	-	-	-	
SD	SD NEGERI 295 BALONG	Kec. Ujung Loe	8	123	6	-	-	-	-	-	-	
