Jenjang,Sekolah,Laki-laki,Perempuan
SD,SDN 7 MATAJANG,205,194
SD,SD NEGERI 274 BONTOSUNGGU,71,70
SD,SD NEGERI 21 SEPPANG,82,105
SD,SD NEGERI 90 GANJENGE,107,139
SD,SD NEGERI 287 DOMENGA,33,34
SD,SD NEGERI 27 MATEKKO,119,85
SD,SD NEGERI 182 DANNUANG,158,174
SD,SD NEGERI 206 BONTONYELENG,105,111
SD,SD NEGERI 187 BONTOMANAI,112,110
SD,SD NEGERI 226 BALLEANGING,49,44
SD,SD NEGERI 145 TUJU,25,14
SD,SD NEGERI 247 PATTOENGAN,46,37
SD,SD NEGERI 297 MATEKKO,70,69
SD,SD NEGERI 222 DANNUANG,125,105
SD,SD NEGERI NO. 98 BONTOMANAI,152,146
SD,SD NEGERI 311 LURAYA,74,66
SD,SD NEGERI 94 BALIMBING,83,74
SD,SD NEGERI 293 TANAHKONGKONG,73,76
SD,SD NEGERI 26 MATEKKO,168,165
SD,SD NEGERI 281 SUMALAYA,99,109
SD,SD NEGERI 290 TAHEBATU,30,30
SD,SD NEGERI 227 BONTOMACINNA,91,107
SD,SD NEGERI 113 DANGGAREHANG,36,28
SD,SD NEGERI 158 BENJALA,55,64
SD,SD NEGERI 196 TRITIRO,28,39
SD,SD NEGERI 65 BALANGRIRI,79,87
SD,SD NEGERI 346 TIMBULA,15,14
SD,SD NEGERI 319 LOKAJAHA,50,32
SD,SD NEGERI 9 TANAH KONGKONG,113,123
SD,SD NEGERI 19 MANYAMPA,84,72
SD,SD NEGERI 244 SALASSAE,58,43
SD,SD NEGERI 254 BANYORO,47,29
SD,SD NEGERI 263 TANAH LEMO,66,77
SD,SD NEGERI 157 PASARAYA,79,96
SD,SD NEGERI 130 BONTOBEANG,56,44
SD,SD NEGERI 320 MARAKKIUNG,19,23
SD,SD NEGERI 191 LEMBANNA,34,33
SD,SD NEGERI NO 6 KASUARA,99,128
SD,SD NEGERI 312 SAPAYA,91,79
SD,SD NEGERI 131 BONTO BANA,52,48
SD,SD NEGERI 86 LONGI,56,49
SD,SD NEGERI 45 DAMPANG,69,73
