Jenjang,Sekolah,Kecematan,< 16,16 - 18,>18
SMP,SMP NEGERI SATAP 11 BULUKUMBA,Kec. Kindang,2,36,13
SMP,SMP NEGERI SATAP 2 BULUKUMBA,Kec. Bontotiro,0,44,8
SMP,SMP NEGERI 12 BULUKUMBA ,Kec. Ujung Loe,4,290,64
SMP,SMP ISLAM AL QALAM,Kec. Bulukumpa,2,36,14
SMP,SMP NEGERI 13 BULUKUMBA,Kec. Ujung Loe,8,82,30
SMP,SMP NEGERI SATAP 12 BULUKUMBA ,Kec. Kindang,0,12,3
SMP,SMP NEGERI SATAP 6 BULUKUMBA,Kec. Bontobahari,0,38,6
SMP,SMP NEGERI 7 BULUKUMBA,Kec. Gantarang,5,186,25
SMP,SMP NEGERI 26 HERLANG,Kec. Herlang,1,161,32
SMP,SMP NEGERI 36 BULUKUMBA,Kec. Kindang,3,171,31
SMP,SMP NEGERI 4 BULUKUMBA,Kec. Gantarang,7,513,138
SMP,SMP NEGERI SATAP 13 BULUKUMBA,Kec. Kindang,0,17,15
SMP,SMP MUHAMMADIYAH BULUKUMBA,Kec. Ujung Bulu,0,62,15
SMP,SMP NEGERI 17 BULUKUMBA,Kec. Bulukumpa,8,230,47
SMP,SMP NEGERI 44 BULUKUMBA,Kec. Bulukumpa,5,140,21
SMP,SMP NEGERI 37 BULUKUMBA,Kec. Kindang,6,190,27
SMP,SMP NEGERI 2 BULUKUMBA,Kec. Ujung Bulu,7,632,63
SMP,SMP NEGERI 48 BULUKUMBA,Kec. Gantarang,2,55,15
SMP,SMP AL GAZALI,Kec. Ujung Bulu,0,22,14
SMP,SMP NEGERI 47 BULUKUMBA,Kec. Bulukumpa,1,73,26
SMP,SMP NEGERI 1 BULUKUMBA,Kec. Ujung Bulu,6,1052,83
SMP,SMP NEGERI SATAP 8 BULUKUMBA,Kec. Ujung Loe,1,63,14
SMP,SMP NEGERI 29 BULUKUMBA,Kec. Bontotiro,13,229,22
SMP,SMP NEGERI 31 BULUKUMBA,Kec. Bontotiro,13,172,31
SMP,SMP NEGERI 34 BULUKUMBA,Kec. Bontobahari,9,265,26
SMP,SMP NEGERI 18 BULUKUMBA ,Kec. Bulukumpa,4,157,33
SMP,SMP NEGERI 33 BULUKUMBA,Kec. Bontobahari,9,226,27
SMP,SMP NEGERI 6 BULUKUMBA,Kec. Gantarang,3,153,26
SMP,SMPN SATAP 18 BULUKUMBA,Kec. Bulukumpa,4,99,7
SMP,SMP NEGERI 30 BULUKUMBA,Kec. Bontotiro,10,262,32
SMP,SMP NEGERI SATAP 1 BULUKUMBA,Kec. Herlang,2,87,30
SMP,SMP NEGERI 22 BULUKUMBA,Kec. Kajang,10,142,31
SMP,SMP NEGERI SATAP 10 BULUKUMBA ,Kec. Kindang,1,39,2
SMP,SMP NEGERI 38 BULUKUMBA,Kec. Kindang,7,95,13
SMP,SMP PGRI BULUKUMBA,Kec. Ujung Bulu,0,19,13
SMP,SMP NEGERI 42 BULUKUMBA,Kec. Rilau Ale,6,103,19
SD,SDN 7 MATAJANG,Kec. Ujung Bulu,0,364,35
SD,SD NEGERI 274 BONTOSUNGGU,Kec. Gantarang,0,127,14
