Jenjang,Sekolah,Kecematan,< 16,16 - 18,>18
SD,SD NEGERI 269 BALLEANGING,Kec. Ujung Loe,0,140,15
SD,SD NEGERI 101 KAJANG II,Kec. Kajang,1,193,7
SD,SD NEGERI 225 ALLU,Kec. Ujung Loe,0,114,9
SD,SD NEGERI 36 BONTOSUNGGU,Kec. Gantarang,0,86,7
SD,SD NEGERI 305 TA GENTUNG,Kec. Bulukumpa,0,47,8
SD,SD NEGERI 177 BATUASANG,Kec. Herlang,2,79,8
SD,SD NEGERI 183 GARANTA,Kec. Ujung Loe,0,181,14
SD,SD NEGERI 66 BALANGRIRI,Kec. Bulukumpa,0,100,4
SD,SD NEGERI 79 LAJAE,Kec. Bulukumpa,1,145,10
SD,SD NEGERI 261 BILAMPOROA,Kec. Bontotiro,0,58,7
SD,SD NEGERI 84 PANGI,Kec. Rilau Ale,0,115,5
SD,SD NEGERI 34 BIALO,Kec. Gantarang,0,100,7
SD,SD NEGERI 133 HILA,Kec. Bontotiro,0,64,3
SD,SD NEGERI 349 MAMPUA,Kec. Ujung Loe,3,46,5
SD,SD NEGERI 146 MATTOANGIN,Kec. Bontotiro,0,98,7
SD,SD NEGERI 16 ULUTEDONG,Kec. Ujung Loe,1,269,30
SD,SD NEGERI 29 BONTOMACINNA,Kec. Gantarang,0,170,10
SD,SD NEGERI 80 BULUKUMPA,Kec. Bulukumpa,0,157,9
SD,SD NEGERI 61 BALLEANGING,Kec. Bulukumpa,0,103,6
SD,SD NEGERI 106 LABOJO,Kec. Kajang,2,86,2
SD,SD NEGERI 82 PALAMPANG,Kec. Rilau Ale,0,136,11
SD,SD NEGERI 3 KASIMPURENG,Kec. Ujung Bulu,0,505,26
SD,SD NEGERI 160TARAMPANG,Kec. Bontobahari,0,206,37
SD,SD NEGERI 221 TANAHKONGKONG,Kec. Ujung Bulu,1,466,12
SD,SD NEGERI 136 SALOBUNDANG,Kec. Bontotiro,1,91,1
SD,SD NEGERI 92 PANGALLOANG,Kec. Rilau Ale,0,100,15
SD,SD NEGERI 248 LAIKANG,Kec. Kajang,0,76,6
SD,SD NEGERI 298 CABALU,Kec. Gantarang,0,92,11
SD,SD NEGERI 14 BABANA,Kec. Ujung Loe,0,274,35
SD,SD NEGERI 11 KALUMEME,Kec. Ujung Bulu,0,244,37
SD,SD NEGERI 304 BATUHULANG,Kec. Bulukumpa,0,80,8
SD,SD NEGERI 69 ANNISIA,Kec. Bulukumpa,0,90,5
SD,SD NEGERI 170 LIUKANG LOE,Kec. Bontobahari,0,68,12
SD,SD NEGERI 68 TIBONA,Kec. Bulukumpa,0,146,9
SD,SD NEGERI 240 HARUE,Kec. Bulukumpa,0,60,6
SD,SD NEGERI 259 SAMBOANG,Kec. Bontotiro,0,47,7
SD,SD NEGERI 273 BORONGRAPPOA,Kec. Kindang,0,99,17
SD,SD NEGERI 232 DAMPANG,Kec. Gantarang,0,104,16
SD,SD NEGERI 344 ALORANG,Kec. Herlang,3,69,5
SD,SD NEGERI 289 TALUMAYA,Kec. Bontotiro,0,55,6
SD,SD NEGERI NO 93 MARANA,Kec. Rilau Ale,0,57,6
SD,SD NEGERI 96 GALUNG BODDONG,Kec. Bulukumpa,1,35,0
SD,SD NEGERI 303 PALIPUNGANG,Kec. Rilau Ale,0,55,12
SD,SD NEGERI 237 LEMBANG,Kec. Bulukumpa,1,122,10
SD,SD NEGERI 317 BORONG,Kec. Herlang,0,32,6
SD,SD NEGERI 140 KALERASANG,Kec. Bontotiro,0,42,5
SD,SD NEGERI 12 BABANA,Kec. Ujung Loe,0,120,11
SD,SD NEGERI 119 KARASSING,Kec. Herlang,0,110,6
SD,SD NEGERI 322 ELA,Kec. Ujung Bulu,0,108,11
SD,SD NEGERI 174 ANRIHUA,Kec. Kindang,0,170,4
SD,SD NEGERI 314 MARANA,Kec. Herlang,0,67,5
SD,SD NEGERI 197 SAPOLOHE,Kec. Bontobahari,0,217,27
SD,SD NEGERI 299 BONTO MACINNA,Kec. Gantarang,2,66,49
SD,SD NEGERI 166 BIRA,Kec. Bontobahari,0,90,4
SD,SD NEGERI 102 LAIKANG,Kec. Kajang,0,70,6
SD,SD NEGERI 292 BIRA,Kec. Bontobahari,0,42,3
SD,SD NEGERI 28 BONTOMACINNA,Kec. Gantarang,1,66,3
SD,SD NEGERI 308 BUNGAYA,Kec. Kajang,2,38,1
SD,SD NEGERI 278 PAKOMBONG,Kec. Bulukumpa,0,137,3
SD,SD NEGERI 125 SALIBANG,Kec. Herlang,1,67,9
SD,SD NEGERI 156 KALUKUBODO,Kec. Bontobahari,1,62,5
SD,SD NEGERI 43 MATTIROWALIE.,Kec. Kindang,2,181,12
SD,SD NEGERI 189 BARUGAE,Kec. Bulukumpa,0,239,14
SD,SD NEGERI 37 PALAMBARAE,Kec. Gantarang,0,250,17
SD,SD NEGERI 231 BONTONYELENG,Kec. Gantarang,0,44,4
SD,SD NEGERI 54 CAMPAGA,Kec. Kindang,0,121,8
SD,SD NEGERI 275 GATTARENG,Kec. Gantarang,0,57,0
SD,SD NEGERI 214 LOLISANG,Kec. Kajang,0,151,23
SD,SD NEGERI NO 279 TALLE,Kec. Rilau Ale,1,133,10
SD,SD NEGERI 272 BALLEANGING,Kec. Ujung Loe,0,173,23
SD,SD NEGERI 330 RAOE,Kec. Gantarang,1,80,3
SD,SD NEGERI 230 PALAMBARAE,Kec. Gantarang,0,281,26
SD,SD NEGERI 121 EREINUNG,Kec. Herlang,0,38,5
SD,SD NEGERI 333 TIBONA,Kec. Bulukumpa,6,64,12
SD,SD NEGERI 217 KARASSING,Kec. Herlang,0,74,10
SD,SD NEGERI 49 BORONGRAPPOA.,Kec. Kindang,0,166,7
SD,SD NEGERI 268 JANNAKEKE,Kec. Bontotiro,0,42,4
SD,SD NEGERI 229 GATTARENG,Kec. Gantarang,0,110,8
SD,SD NEGERI 32 BARABBA,Kec. Gantarang,0,139,5
SD,SD NEGERI 114 MALLELENG,Kec. Kajang,4,93,4
SD,SD NEGERI 75 PETTUNGE,Kec. Bulukumpa,0,66,10
SD,SD NEGERI 316 LASSANRU,Kec. Herlang,0,104,17
SD,SD NEGERI 78 BONTOA,Kec. Bulukumpa,0,95,2
SD,SD NEGERI 115 BALAGANA,Kec. Kajang,2,195,31
SD,SD NEGERI 204 GATTARENG,Kec. Gantarang,0,100,2
SD,SD NEGERI 155 TANAH BERU,Kec. Bontobahari,0,206,6
SD,SD NEGERI 207 DAMPANG,Kec. Gantarang,0,83,5
SD,SD NEGERI 71 BARUGAE,Kec. Bulukumpa,1,84,7
SD,SD NEGERI 243 ELLEE,Kec. Bulukumpa,6,142,13
SD,SD NEGERI 8 NIPA,Kec. Ujung Bulu,0,123,17
SD,SD NEGERI 285 DASSA,Kec. Kajang,9,77,16
SD,SD NEGERI 89 BATU KAROPA,Kec. Rilau Ale,0,128,12
SD,SD NEGERI 338 JAMPANG,Kec. Kajang,2,126,7
SD,SD NEGERI 77 BONTOBAJU,Kec. Bulukumpa,0,47,4
SD,SD NEGERI 235 BORONGRAPPOA,Kec. Kindang,1,51,1
SD,SD NEGERI 55 CIBOLLO,Kec. Kindang,0,119,5
SD,SD NEGERI 205 BONTOSUNGGU,Kec. Gantarang,2,149,11
SD,SD NEGERI 193 TANUNTUNG,Kec. Herlang,0,109,6
SD,SD NEGERI 348 DOAJANG,Kec. Bontobahari,0,162,18
SD,SD NEGERI 195 EKATIRO,Kec. Bontotiro,0,49,7
SLB,SLBS ABCD DARMAWANITA HERLANG,Kec. Herlang,0,14,8
SLB,SLB NEGERI BULUKUMBA,Kec. Ujung Bulu,0,37,30
