Jenjang,Sekolah,Kecematan,1,2,3,4,5,6,7,8,9,10,11,12,13
SMP,SMP INTEGRAL AL HIKMAH,Kec. Ujung Loe,-,-,-,-,-,-,1,1,1,-,-,-,-
SMP,SMP NEGERI 35 BULUKUMBA,Kec. Bontobahari,-,-,-,-,-,-,2,2,2,-,-,-,-
SMP,SMP NEGERI 39 BULUKUMBA,Kec. Rilau Ale,-,-,-,-,-,-,7,7,8,-,-,-,-
SMP,SMP NEGERI 10 BULUKUMBA,Kec. Ujung Loe,-,-,-,-,-,-,8,8,7,-,-,-,-
SMP,SMP NEGERI 24 BULUKUMBA ,Kec. Herlang,-,-,-,-,-,-,5,5,5,-,-,-,-
SMP,SMP NEGERI 5 BULUKUMBA,Kec. Gantarang,-,-,-,-,-,-,5,5,6,-,-,-,-
SMP,SMP AL-IRSYAD,Kec. Kindang,-,-,-,-,-,-,1,1,1,-,-,-,-
SMP,SMP NEGERI 23 BULUKUMBA,Kec. Kajang,-,-,-,-,-,-,2,2,2,-,-,-,-
SMP,SMP NEGERI SATAP 3 BULUKUMBA ,Kec. Kajang,-,-,-,-,-,-,1,1,1,-,-,-,-
SMP,SMP NEGERI 21 BULUKUMBA,Kec. Kajang,-,-,-,-,-,-,3,3,4,-,-,-,-
SMP,SMP NEGERI SATAP 5 BULUKUMBA,Kec. Kajang,-,-,-,-,-,-,1,1,1,-,-,-,-
SMP,SMP NEGERI SATAP 15 BULUKUMBA,Kec. Gantarang,-,-,-,-,-,-,1,1,1,-,-,-,-
SMP,SMP NEGERI SATAP 4 BULUKUMBA ,Kec. Kajang,-,-,-,-,-,-,1,1,1,-,-,-,-
SMP,SMP NEGERI SATAP 7 BULUKUMBA,Kec. Bontobahari,-,-,-,-,-,-,1,1,1,-,-,-,-
SMP,SMP NEGERI 32 BULUKUMBA,Kec. Bontobahari,-,-,-,-,-,-,8,9,9,-,-,-,-
SMP,SMPN 46 BULUKUMBA,Kec. Herlang,-,-,-,-,-,-,1,1,1,-,-,-,-
SMP,SMP NEGERI 9 BULUKUMBA ,Kec. Gantarang,-,-,-,-,-,-,5,4,4,-,-,-,-
SMP,SMP NEGERI 11 BULUKUMBA,Kec. Ujung Loe,-,-,-,-,-,-,4,4,4,-,-,-,-
SMP,SMP NEGERI 3 BULUKUMBA ,Kec. Ujung Bulu,-,-,-,-,-,-,2,5,3,-,-,-,-
SMP,SMP NEGERI 41 BULUKUMBA ,Kec. Rilau Ale,-,-,-,-,-,-,4,4,4,-,-,-,-
SMP,SMPS AS SALAM JONJORO,Kec. Rilau Ale,-,-,-,-,-,-,1,1,1,-,-,-,-
SMP,SMP NEGERI 43 BULUKUMBA,Kec. Kajang,-,-,-,-,-,-,2,2,2,-,-,-,-
SMP,SMP NEGERI 25 BULUKUMBA,Kec. Herlang,-,-,-,-,-,-,6,5,5,-,-,-,-
SMP,SMP NEGERI 40 BULUKUMBA,Kec. Rilau Ale,-,-,-,-,-,-,8,8,8,-,-,-,-
SMP,SMP NEGERI SATAP 14 BULUKUMBA,Kec. Gantarang,-,-,-,-,-,-,1,1,1,-,-,-,-
SMP,SMP NEGERI 28 BULUKUMBA,Kec. Herlang,-,-,-,-,-,-,3,3,2,-,-,-,-
SMP,SMP NEGERI 19 BULUKUMBA ,Kec. Kajang,-,-,-,-,-,-,7,7,7,-,-,-,-
SMP,SMP NEGERI 20 BULUKUMBA,Kec. Kajang,-,-,-,-,-,-,8,8,8,-,-,-,-
SMP,SMP NEGERI 14 BULUKUMBA,Kec. Bulukumpa,-,-,-,-,-,-,6,8,6,-,-,-,-
SMP,SMP NEGERI 27 BULUKUMBA,Kec. Herlang,-,-,-,-,-,-,2,1,2,-,-,-,-
SMP,SMP NEGERI 15 BULUKUMBA,Kec. Bulukumpa,-,-,-,-,-,-,3,3,3,-,-,-,-
SMP,SMP NEGERI 16 BULUKUMBA,Kec. Bulukumpa,-,-,-,-,-,-,5,5,5,-,-,-,-
SMP,SMP NEGERI SATAP 11 BULUKUMBA,Kec. Kindang,-,-,-,-,-,-,1,1,1,-,-,-,-
SMP,SMP NEGERI SATAP 2 BULUKUMBA,Kec. Bontotiro,-,-,-,-,-,-,1,1,1,-,-,-,-
SMP,SMP NEGERI 12 BULUKUMBA ,Kec. Ujung Loe,-,-,-,-,-,-,4,5,4,-,-,-,-
SMP,SMP ISLAM AL QALAM,Kec. Bulukumpa,-,-,-,-,-,-,1,1,1,-,-,-,-
SMP,SMP NEGERI 13 BULUKUMBA,Kec. Ujung Loe,-,-,-,-,-,-,1,2,2,-,-,-,-
SMP,SMP NEGERI SATAP 12 BULUKUMBA ,Kec. Kindang,-,-,-,-,-,-,1,1,1,-,-,-,-
SMP,SMP NEGERI SATAP 6 BULUKUMBA,Kec. Bontobahari,-,-,-,-,-,-,1,1,1,-,-,-,-
SMP,SMP NEGERI 7 BULUKUMBA,Kec. Gantarang,-,-,-,-,-,-,3,3,3,-,-,-,-
SMP,SMP NEGERI 26 HERLANG,Kec. Herlang,-,-,-,-,-,-,3,3,3,-,-,-,-
SMP,SMP NEGERI 36 BULUKUMBA,Kec. Kindang,-,-,-,-,-,-,3,3,3,-,-,-,-
SMP,SMP NEGERI 4 BULUKUMBA,Kec. Gantarang,-,-,-,-,-,-,8,8,8,-,-,-,-
SMP,SMP NEGERI SATAP 13 BULUKUMBA,Kec. Kindang,-,-,-,-,-,-,1,1,1,-,-,-,-
