sekolah,laki-laki,perempuan
SD NEGERI 232 DAMPANG,62,59
SD NEGERI 233 DAMPANG,72,71
SD NEGERI 234 MATTIROWALIE,85,66
SD NEGERI 235 BORONGRAPPOA,27,26
SD NEGERI 236 KINDANG,38,47
SD NEGERI 237 LEMBANG,65,68
SD NEGERI 238 MATTOANGING,38,23
SD NEGERI 239 SARAJOKO,45,37
SD NEGERI 24 SALEMBA,276,249
SD NEGERI 240 HARUE,31,35
SD NEGERI 241 BARUGAE,36,42
SD NEGERI 242 GALUNG BODDONG,79,70
SD NEGERI 243 ELLEE,78,83
SD NEGERI 244 SALASSAE,58,43
SD NEGERI 245 BATUTOMPO,114,87
SD NEGERI 246 BONTOMANAI,95,74
SD NEGERI 247 PATTOENGAN,46,37
SD NEGERI 248 LAIKANG,38,44
SD NEGERI 249 DALOBA,86,82
SD NEGERI 25 LONRONG,28,25
SD NEGERI 250 KOLI-KOLI,60,43
SD NEGERI 251 GANTA,66,64
SD NEGERI 252 SAPIRI,52,45
SD NEGERI 253 TANUNTUNG,12,27
SD NEGERI 254 BANYORO,47,29
SD NEGERI 255 PARANGLOHE,37,29
SD NEGERI 256 KAJANG-KAJANG,34,25
SD NEGERI 257 BADDOA,60,68
SD NEGERI 258 SAKUI KUI,37,34
SD NEGERI 259 SAMBOANG,28,26
SD NEGERI 26 MATEKKO,168,165
SD NEGERI 260 EREKEKE,19,24
SD NEGERI 261 BILAMPOROA,29,36
SD NEGERI 262 TANAH LEMO,63,64
SD NEGERI 263 TANAH LEMO,66,77
SD NEGERI 264 BIRA,34,41
SD NEGERI 265 BINTARORE,80,83
SD NEGERI 266 TOROLIYA,31,29
SD NEGERI 267 DAULELE,57,48
SD NEGERI 268 JANNAKEKE,25,21
SD NEGERI 269 BALLEANGING,97,58
SD NEGERI 27 MATEKKO,119,85
SD NEGERI 270 DANNUANG,81,74
SD NEGERI 271 GARANTA,43,51
SD NEGERI 272 BALLEANGING,99,97
SD NEGERI 273 BORONGRAPPOA,58,58
SD NEGERI 274 BONTOSUNGGU,71,70
SD NEGERI 275 GATTARENG,27,30
SD NEGERI 276 CAMPULEA,67,64
SD NEGERI 278 PAKOMBONG,71,69
SD NEGERI 28 BONTOMACINNA,35,35
SD NEGERI 281 SUMALAYA,99,109
SD NEGERI 282 TUBOGA,58,58
SD NEGERI 283 GANTING,79,76
SD NEGERI 284 TANAH JAYA,22,10
