Jenjang,Sekolah,Kecematan,Laki-laki,Perempuan
SD,SD NEGERI 87 BUTTAKEKE,Kec. Rilau Ale,3,8
SD,SD NEGERI 313 PAPINJENG,Kec. Kajang,1,8
SD,SD NEGERI 88 BATUKAROPA,Kec. Rilau Ale,3,8
SD,SD NEGERI 190 TANAH JAYA,Kec. Kajang,3,6
SD,SD NEGERI 149 TAMALALA,Kec. Bontotiro,2,7
SD,SD NEGERI 345 SAMAKORE,Kec. Bontotiro,1,7
SD,SD NEGERI 161 ARA,Kec. Bontobahari,1,7
SD,SD NEGERI 210 BONTOMINASA,Kec. Bulukumpa,3,9
SD,SD NEGERI 91 MUNTE,Kec. Bulukumpa,3,6
SD,SD NEGERI 64 BALANGBESSI,Kec. Bulukumpa,2,8
SD,SD NEGERI 255 PARANGLOHE,Kec. Herlang,4,5
SD,SD NEGERI 116 USA,Kec. Kajang,4,5
SD,SD NEGERI 267 DAULELE,Kec. Kajang,3,6
SD,SD NEGERI .172 BORONGKALUKUE,Kec. Ujung Bulu,3,14
SD,SD NEGERI 256 KAJANG,Kec. Herlang,1,7
SD,SD NEGERI 162 ARA,Kec. Bontobahari,2,6
SD,SD NEGERI 153 TOMBOLO,Kec. Bontotiro,3,8
SD,SD NEGERI 100 CENTRE KAJANG,Kec. Kajang,5,7
SD,SD NEGERI 181 TANAHKONGKONG,Kec. Ujung Bulu,4,8
SD,SD NEGERI 118 LEMBANG TUMBU,Kec. Herlang,2,7
SD,SD NEGERI 103 KALIMPORO,Kec. Kajang,3,7
SD,SD NEGERI 260 EREKEKE,Kec. Bontotiro,2,6
SD,SD NEGERI 276 CAMPULEA,Kec. Rilau Ale,2,7
SD,SD NEGERI 228 GATTARENG,Kec. Gantarang,4,10
SD,SD NEGERI 143 PARA,Kec. Bontotiro,4,4
SD,SD NEGERI 315 KAROSI,Kec. Herlang,3,6
SD,SD NEGERI 329 PALAMBARAE,Kec. Gantarang,3,13
SD,SD NEGERI 53 PABBAMBAENG.,Kec. Kindang,3,9
SD,SD NEGERI 300 BONTO TANAE,Kec. Gantarang,3,8
SD,SD NEGERI 95 BONTOBULAENG,Kec. Bulukumpa,2,8
SD,SD NEGERI 20 MANYAMPA,Kec. Ujung Loe,3,6
SD,SD NEGERI 179 TANAH BERU,Kec. Bontobahari,4,12
SD,SD NEGERI 104 JANNAYA,Kec. Kajang,1,8
SD,SD NEGERI 219 ARA,Kec. Bontobahari,1,7
SD,SD NEGERI 13 SALEMBA,Kec. Ujung Loe,3,7
SD,SD NEGERI 306 MARANA,Kec. Rilau Ale,1,8
SD,SD NEGERI 236 KINDANG,Kec. Kindang,2,7
SD,SD NEGERI 134 KALUMPANG,Kec. Bontotiro,1,8
SD,SD NEGERI 283 GANTING,Kec. Kajang,2,7
SD,SD NEGERI 128 TURUNGAN BERU,Kec. Herlang,5,6
SD,SD NEGERI 295 BALONG,Kec. Ujung Loe,2,7
SD,SD NEGERI 138 BASOKENG,Kec. Bontotiro,3,5
SD,SD NEGERI 264 BIRA,Kec. Bontobahari,1,7
SD,SD NEGERI 351 KAWASAN,Kec. Kajang,5,4
SD,SD NEGERI 74 TAMARELLANG,Kec. Bulukumpa,3,7
SD,SD NEGERI 310 NANASAYA,Kec. Kajang,5,3
SD,SD NEGERI 327 MATEKKO,Kec. Gantarang,2,8
SD,SD NEGERI 67 LOISA,Kec. Bulukumpa,4,5
SD,SD NEGERI 30 GATTARANG,Kec. Gantarang,5,10
SD,SD NEGERI 185 BIALO,Kec. Gantarang,5,10
SD,SD NEGERI 180 BENTENGE,Kec. Ujung Bulu,1,9
SD,SD NEGERI 147 MATTOANGING 2,Kec. Bontotiro,4,5
SD,SD NEGERI 178 TULEKKO,Kec. Bontotiro,1,8
SD,SD NEGERI 60 TANETE,Kec. Bulukumpa,2,7
SD,SD NEGERI 342 PAOREMBAYA,Kec. Herlang,5,5
SD,SD NEGERI 324 TAKKUE,Kec. Ujung Loe,2,8
SD,SD NEGERI 301 KALUKU,Kec. Kindang,6,4
SD,SD NEGERI 122 BATUPANYU,Kec. Herlang,5,5
SD,SD NEGERI 251 GANTA,Kec. Kajang,4,4
SD,SD NEGERI 257 BADDOA,Kec. Herlang,5,4
SD,SD NEGERI 81 PALAMPANG,Kec. Rilau Ale,4,5
SD,SD NEGERI 186 MATTIROWALIE,Kec. Kindang,3,7
SD,SD NEGERI 200 DANNUANG,Kec. Ujung Loe,4,4
