Jenjang,Sekolah,Kecematan,Laki-laki,Perempuan
SD,SD NEGERI 82 PALAMPANG,Kec. Rilau Ale,3,6
SD,SD NEGERI 3 KASIMPURENG,Kec. Ujung Bulu,5,26
SD,SD NEGERI 160TARAMPANG,Kec. Bontobahari,3,10
SD,SD NEGERI 221 TANAHKONGKONG,Kec. Ujung Bulu,7,14
SD,SD NEGERI 136 SALOBUNDANG,Kec. Bontotiro,4,5
SD,SD NEGERI 92 PANGALLOANG,Kec. Rilau Ale,4,7
SD,SD NEGERI 248 LAIKANG,Kec. Kajang,5,4
SD,SD NEGERI 298 CABALU,Kec. Gantarang,1,10
SD,SD NEGERI 14 BABANA,Kec. Ujung Loe,3,13
SD,SD NEGERI 11 KALUMEME,Kec. Ujung Bulu,6,11
SD,SD NEGERI 304 BATUHULANG,Kec. Bulukumpa,2,6
SD,SD NEGERI 69 ANNISIA,Kec. Bulukumpa,2,6
SD,SD NEGERI 170 LIUKANG LOE,Kec. Bontobahari,3,3
SD,SD NEGERI 68 TIBONA,Kec. Bulukumpa,3,7
SD,SD NEGERI 240 HARUE,Kec. Bulukumpa,2,7
SD,SD NEGERI 259 SAMBOANG,Kec. Bontotiro,2,7
SD,SD NEGERI 273 BORONGRAPPOA,Kec. Kindang,2,6
SD,SD NEGERI 232 DAMPANG,Kec. Gantarang,5,8
SD,SD NEGERI 344 ALORANG,Kec. Herlang,3,5
SD,SD NEGERI 289 TALUMAYA,Kec. Bontotiro,4,5
SD,SD NEGERI NO 93 MARANA,Kec. Rilau Ale,2,7
SD,SD NEGERI 96 GALUNG BODDONG,Kec. Bulukumpa,1,7
SD,SD NEGERI 303 PALIPUNGANG,Kec. Rilau Ale,4,5
SD,SD NEGERI 237 LEMBANG,Kec. Bulukumpa,6,3
SD,SD NEGERI 317 BORONG,Kec. Herlang,4,1
SD,SD NEGERI 140 KALERASANG,Kec. Bontotiro,2,5
SD,SD NEGERI 12 BABANA,Kec. Ujung Loe,4,7
SD,SD NEGERI 119 KARASSING,Kec. Herlang,4,5
SD,SD NEGERI 322 ELA,Kec. Ujung Bulu,3,8
SD,SD NEGERI 174 ANRIHUA,Kec. Kindang,1,11
SD,SD NEGERI 314 MARANA,Kec. Herlang,4,6
SD,SD NEGERI 197 SAPOLOHE,Kec. Bontobahari,6,9
SD,SD NEGERI 299 BONTO MACINNA,Kec. Gantarang,2,8
SD,SD NEGERI 166 BIRA,Kec. Bontobahari,3,5
SD,SD NEGERI 102 LAIKANG,Kec. Kajang,3,6
SD,SD NEGERI 292 BIRA,Kec. Bontobahari,0,8
SD,SD NEGERI 28 BONTOMACINNA,Kec. Gantarang,2,7
SD,SD NEGERI 308 BUNGAYA,Kec. Kajang,4,4
SD,SD NEGERI 278 PAKOMBONG,Kec. Bulukumpa,1,7
SD,SD NEGERI 125 SALIBANG,Kec. Herlang,3,5
SD,SD NEGERI 156 KALUKUBODO,Kec. Bontobahari,4,5
SD,SD NEGERI 43 MATTIROWALIE.,Kec. Kindang,2,7
SD,SD NEGERI 189 BARUGAE,Kec. Bulukumpa,6,9
SD,SD NEGERI 37 PALAMBARAE,Kec. Gantarang,3,16
SD,SD NEGERI 231 BONTONYELENG,Kec. Gantarang,1,8
SD,SD NEGERI 54 CAMPAGA,Kec. Kindang,3,6
SD,SD NEGERI 275 GATTARENG,Kec. Gantarang,3,8
SD,SD NEGERI 214 LOLISANG,Kec. Kajang,2,7
SD,SD NEGERI NO 279 TALLE,Kec. Rilau Ale,1,8
SD,SD NEGERI 272 BALLEANGING,Kec. Ujung Loe,2,8
SD,SD NEGERI 330 RAOE,Kec. Gantarang,6,7
SD,SD NEGERI 230 PALAMBARAE,Kec. Gantarang,3,15
SD,SD NEGERI 121 EREINUNG,Kec. Herlang,5,4
SD,SD NEGERI 333 TIBONA,Kec. Bulukumpa,5,5
SD,SD NEGERI 217 KARASSING,Kec. Herlang,1,7
SD,SD NEGERI 49 BORONGRAPPOA.,Kec. Kindang,3,8
SD,SD NEGERI 268 JANNAKEKE,Kec. Bontotiro,1,9
SD,SD NEGERI 229 GATTARENG,Kec. Gantarang,7,5
SD,SD NEGERI 32 BARABBA,Kec. Gantarang,2,10
SD,SD NEGERI 114 MALLELENG,Kec. Kajang,3,5
SD,SD NEGERI 75 PETTUNGE,Kec. Bulukumpa,3,8
SD,SD NEGERI 316 LASSANRU,Kec. Herlang,3,6
SD,SD NEGERI 78 BONTOA,Kec. Bulukumpa,3,8
SD,SD NEGERI 115 BALAGANA,Kec. Kajang,6,4
SD,SD NEGERI 204 GATTARENG,Kec. Gantarang,3,11
SD,SD NEGERI 155 TANAH BERU,Kec. Bontobahari,3,11
SD,SD NEGERI 207 DAMPANG,Kec. Gantarang,3,8
SD,SD NEGERI 71 BARUGAE,Kec. Bulukumpa,3,9
SD,SD NEGERI 243 ELLEE,Kec. Bulukumpa,6,3
SD,SD NEGERI 8 NIPA,Kec. Ujung Bulu,2,11
SD,SD NEGERI 285 DASSA,Kec. Kajang,1,7
SD,SD NEGERI 89 BATU KAROPA,Kec. Rilau Ale,3,8
SD,SD NEGERI 338 JAMPANG,Kec. Kajang,2,7
SD,SD NEGERI 77 BONTOBAJU,Kec. Bulukumpa,4,5
SD,SD NEGERI 235 BORONGRAPPOA,Kec. Kindang,2,6
SD,SD NEGERI 55 CIBOLLO,Kec. Kindang,1,7
SD,SD NEGERI 205 BONTOSUNGGU,Kec. Gantarang,5,6
SD,SD NEGERI 193 TANUNTUNG,Kec. Herlang,2,7
SD,SD NEGERI 348 DOAJANG,Kec. Bontobahari,4,8
SD,SD NEGERI 195 EKATIRO,Kec. Bontotiro,4,4
SLB,SLBS ABCD DARMAWANITA HERLANG,Kec. Herlang,4,14
SLB,SLB NEGERI BULUKUMBA,Kec. Ujung Bulu,8,29
