Jenjang	Sekolah	Kecematan	1	2	3	4	5	6	7	8	9	10	11	12	13	
SMP	SMP AL-IRSYAD	Kec. Kindang	-	-	-	-	-	-	10	23	26	-	-	-	-	
SMP	SMP NEGERI 23 BULUKUMBA	Kec. Kajang	-	-	-	-	-	-	39	46	38	-	-	-	-	
SMP	SMP NEGERI SATAP 3 BULUKUMBA 	Kec. Kajang	-	-	-	-	-	-	32	15	23	-	-	-	-	
SMP	SMP NEGERI 21 BULUKUMBA	Kec. Kajang	-	-	-	-	-	-	93	95	103	-	-	-	-	
SMP	SMP NEGERI SATAP 5 BULUKUMBA	Kec. Kajang	-	-	-	-	-	-	30	34	24	-	-	-	-	
SMP	SMP NEGERI SATAP 15 BULUKUMBA	Kec. Gantarang	-	-	-	-	-	-	19	26	26	-	-	-	-	
SMP	SMP NEGERI SATAP 4 BULUKUMBA 	Kec. Kajang	-	-	-	-	-	-	19	15	18	-	-	-	-	
SMP	SMP NEGERI SATAP 7 BULUKUMBA	Kec. Bontobahari	-	-	-	-	-	-	14	10	8	-	-	-	-	
SMP	SMP NEGERI 32 BULUKUMBA	Kec. Bontobahari	-	-	-	-	-	-	203	219	229	-	-	-	-	
SMP	SMPN 46 BULUKUMBA	Kec. Herlang	-	-	-	-	-	-	28	24	26	-	-	-	-	
SMP	SMP NEGERI 9 BULUKUMBA 	Kec. Gantarang	-	-	-	-	-	-	109	103	86	-	-	-	-	
SMP	SMP NEGERI 11 BULUKUMBA	Kec. Ujung Loe	-	-	-	-	-	-	98	119	115	-	-	-	-	
SMP	SMP NEGERI 3 BULUKUMBA 	Kec. Ujung Bulu	-	-	-	-	-	-	58	101	74	-	-	-	-	
SMP	SMP NEGERI 41 BULUKUMBA 	Kec. Rilau Ale	-	-	-	-	-	-	106	116	112	-	-	-	-	
SMP	SMPS AS SALAM JONJORO	Kec. Rilau Ale	-	-	-	-	-	-	22	25	19	-	-	-	-	
SMP	SMP NEGERI 43 BULUKUMBA	Kec. Kajang	-	-	-	-	-	-	41	46	54	-	-	-	-	
SMP	SMP NEGERI 25 BULUKUMBA	Kec. Herlang	-	-	-	-	-	-	126	110	111	-	-	-	-	
SMP	SMP NEGERI 40 BULUKUMBA	Kec. Rilau Ale	-	-	-	-	-	-	254	248	260	-	-	-	-	
SMP	SMP NEGERI SATAP 14 BULUKUMBA	Kec. Gantarang	-	-	-	-	-	-	27	24	23	-	-	-	-	
SMP	SMP NEGERI 28 BULUKUMBA	Kec. Herlang	-	-	-	-	-	-	65	74	50	-	-	-	-	
SMP	SMP NEGERI 19 BULUKUMBA 	Kec. Kajang	-	-	-	-	-	-	196	214	196	-	-	-	-	
SMP	SMP NEGERI 20 BULUKUMBA	Kec. Kajang	-	-	-	-	-	-	250	225	224	-	-	-	-	
SMP	SMP NEGERI 14 BULUKUMBA	Kec. Bulukumpa	-	-	-	-	-	-	200	237	161	-	-	-	-	
SMP	SMP NEGERI 27 BULUKUMBA	Kec. Herlang	-	-	-	-	-	-	43	29	46	-	-	-	-	
SMP	SMP NEGERI 15 BULUKUMBA	Kec. Bulukumpa	-	-	-	-	-	-	76	70	75	-	-	-	-	
SMP	SMP NEGERI 16 BULUKUMBA	Kec. Bulukumpa	-	-	-	-	-	-	106	115	115	-	-	-	-	
SMP	SMP NEGERI SATAP 11 BULUKUMBA	Kec. Kindang	-	-	-	-	-	-	15	21	15	-	-	-	-	
SMP	SMP NEGERI SATAP 2 BULUKUMBA	Kec. Bontotiro	-	-	-	-	-	-	14	18	20	-	-	-	-	
SMP	SMP NEGERI 12 BULUKUMBA 	Kec. Ujung Loe	-	-	-	-	-	-	108	125	125	-	-	-	-	
SMP	SMP ISLAM AL QALAM	Kec. Bulukumpa	-	-	-	-	-	-	19	15	18	-	-	-	-	
SMP	SMP NEGERI 13 BULUKUMBA	Kec. Ujung Loe	-	-	-	-	-	-	36	40	44	-	-	-	-	
SMP	SMP NEGERI SATAP 12 BULUKUMBA 	Kec. Kindang	-	-	-	-	-	-	5	4	6	-	-	-	-	
SMP	SMP NEGERI SATAP 6 BULUKUMBA	Kec. Bontobahari	-	-	-	-	-	-	21	14	9	-	-	-	-	
SMP	SMP NEGERI 7 BULUKUMBA	Kec. Gantarang	-	-	-	-	-	-	74	78	64	-	-	-	-	
SMP	SMP NEGERI 26 HERLANG	Kec. Herlang	-	-	-	-	-	-	63	62	69	-	-	-	-	
SMP	SMP NEGERI 36 BULUKUMBA	Kec. Kindang	-	-	-	-	-	-	69	62	74	-	-	-	-	
SMP	SMP NEGERI 4 BULUKUMBA	Kec. Gantarang	-	-	-	-	-	-	218	207	233	-	-	-	-	
SMP	SMP NEGERI SATAP 13 BULUKUMBA	Kec. Kindang	-	-	-	-	-	-	12	8	12	-	-	-	-	
SMP	SMP MUHAMMADIYAH BULUKUMBA	Kec. Ujung Bulu	-	-	-	-	-	-	30	23	24	-	-	-	-	
SMP	SMP NEGERI 17 BULUKUMBA	Kec. Bulukumpa	-	-	-	-	-	-	90	106	89	-	-	-	-	
SMP	SMP NEGERI 44 BULUKUMBA	Kec. Bulukumpa	-	-	-	-	-	-	68	55	43	-	-	-	-	
SMP	SMP NEGERI 37 BULUKUMBA	Kec. Kindang	-	-	-	-	-	-	61	79	83	-	-	-	-	
SMP	SMP NEGERI 2 BULUKUMBA	Kec. Ujung Bulu	-	-	-	-	-	-	251	241	210	-	-	-	-	
SMP	SMP NEGERI 48 BULUKUMBA	Kec. Gantarang	-	-	-	-	-	-	31	21	20	-	-	-	-	
SMP	SMP AL GAZALI	Kec. Ujung Bulu	-	-	-	-	-	-	10	9	17	-	-	-	-	
SMP	SMP NEGERI 47 BULUKUMBA	Kec. Bulukumpa	-	-	-	-	-	-	20	37	43	-	-	-	-	
SMP	SMP NEGERI 1 BULUKUMBA	Kec. Ujung Bulu	-	-	-	-	-	-	388	403	350	-	-	-	-	
SMP	SMP NEGERI SATAP 8 BULUKUMBA	Kec. Ujung Loe	-	-	-	-	-	-	25	26	27	-	-	-	-	
SMP	SMP NEGERI 29 BULUKUMBA	Kec. Bontotiro	-	-	-	-	-	-	90	92	82	-	-	-	-	
SMP	SMP NEGERI 31 BULUKUMBA	Kec. Bontotiro	-	-	-	-	-	-	67	75	74	-	-	-	-	
SMP	SMP NEGERI 34 BULUKUMBA	Kec. Bontobahari	-	-	-	-	-	-	111	99	90	-	-	-	-	
SMP	SMP NEGERI 18 BULUKUMBA 	Kec. Bulukumpa	-	-	-	-	-	-	59	65	70	-	-	-	-	
SMP	SMP NEGERI 33 BULUKUMBA	Kec. Bontobahari	-	-	-	-	-	-	81	91	90	-	-	-	-	
SMP	SMP NEGERI 6 BULUKUMBA	Kec. Gantarang	-	-	-	-	-	-	46	68	68	-	-	-	-	
SMP	SMPN SATAP 18 BULUKUMBA	Kec. Bulukumpa	-	-	-	-	-	-	37	45	28	-	-	-	-	
SMP	SMP NEGERI 30 BULUKUMBA	Kec. Bontotiro	-	-	-	-	-	-	102	120	82	-	-	-	-	
SMP	SMP NEGERI SATAP 1 BULUKUMBA	Kec. Herlang	-	-	-	-	-	-	43	32	44	-	-	-	-	
SMP	SMP NEGERI 22 BULUKUMBA	Kec. Kajang	-	-	-	-	-	-	65	61	57	-	-	-	-	
SMP	SMP NEGERI SATAP 10 BULUKUMBA 	Kec. Kindang	-	-	-	-	-	-	15	15	12	-	-	-	-	
SMP	SMP NEGERI 38 BULUKUMBA	Kec. Kindang	-	-	-	-	-	-	32	42	41	-	-	-	-	
SMP	SMP PGRI BULUKUMBA	Kec. Ujung Bulu	-	-	-	-	-	-	6	10	16	-	-	-	-	
SMP	SMP NEGERI 42 BULUKUMBA	Kec. Rilau Ale	-	-	-	-	-	-	45	31	52	-	-	-	-	
SD	SDN 7 MATAJANG	Kec. Ujung Bulu	50	69	63	74	87	56	-	-	-	-	-	-	-	
SD	SD NEGERI 274 BONTOSUNGGU	Kec. Gantarang	24	25	29	18	24	21	-	-	-	-	-	-	-	
SD	SD NEGERI 21 SEPPANG	Kec. Ujung Loe	30	23	29	41	27	37	-	-	-	-	-	-	-	
SD	SD NEGERI 90 GANJENGE	Kec. Rilau Ale	42	42	39	35	54	34	-	-	-	-	-	-	-	
SD	SD NEGERI 287 DOMENGA	Kec. Herlang	10	14	12	12	11	8	-	-	-	-	-	-	-	
SD	SD NEGERI 27 MATEKKO	Kec. Gantarang	42	43	36	44	20	19	-	-	-	-	-	-	-	
SD	SD NEGERI 182 DANNUANG	Kec. Ujung Loe	56	70	53	52	48	53	-	-	-	-	-	-	-	
SD	SD NEGERI 206 BONTONYELENG	Kec. Gantarang	52	33	23	39	43	26	-	-	-	-	-	-	-	
SD	SD NEGERI 187 BONTOMANAI	Kec. Rilau Ale	44	28	43	36	40	31	-	-	-	-	-	-	-	
SD	SD NEGERI 226 BALLEANGING	Kec. Ujung Loe	16	13	14	20	10	20	-	-	-	-	-	-	-	
SD	SD NEGERI 145 TUJU	Kec. Bontotiro	8	7	6	8	5	5	-	-	-	-	-	-	-	
SD	SD NEGERI 247 PATTOENGAN	Kec. Bulukumpa	12	8	8	24	18	13	-	-	-	-	-	-	-	
SD	SD NEGERI 297 MATEKKO	Kec. Gantarang	23	33	29	14	22	18	-	-	-	-	-	-	-	
SD	SD NEGERI 222 DANNUANG	Kec. Ujung Loe	37	44	37	41	43	28	-	-	-	-	-	-	-	
SD	SD NEGERI NO. 98 BONTOMANAI	Kec. Rilau Ale	51	37	63	48	52	47	-	-	-	-	-	-	-	
SD	SD NEGERI 311 LURAYA	Kec. Kajang	25	28	23	28	24	12	-	-	-	-	-	-	-	
SD	SD NEGERI 94 BALIMBING	Kec. Rilau Ale	24	23	29	30	26	25	-	-	-	-	-	-	-	
SD	SD NEGERI 293 TANAHKONGKONG	Kec. Ujung Bulu	24	24	33	23	27	18	-	-	-	-	-	-	-	
SD	SD NEGERI 26 MATEKKO	Kec. Gantarang	62	58	43	51	61	58	-	-	-	-	-	-	-	
SD	SD NEGERI 281 SUMALAYA	Kec. Kajang	36	28	28	35	43	38	-	-	-	-	-	-	-	
SD	SD NEGERI 290 TAHEBATU	Kec. Bontotiro	11	13	9	17	4	6	-	-	-	-	-	-	-	
SD	SD NEGERI 227 BONTOMACINNA	Kec. Gantarang	39	33	33	37	26	30	-	-	-	-	-	-	-	
SD	SD NEGERI 113 DANGGAREHANG	Kec. Kajang	5	20	11	9	10	9	-	-	-	-	-	-	-	
SD	SD NEGERI 158 BENJALA	Kec. Bontobahari	21	21	18	20	18	21	-	-	-	-	-	-	-	
SD	SD NEGERI 196 TRITIRO	Kec. Bontotiro	10	13	7	11	12	14	-	-	-	-	-	-	-	
SD	SD NEGERI 65 BALANGRIRI	Kec. Bulukumpa	37	24	26	32	20	27	-	-	-	-	-	-	-	
SD	SD NEGERI 346 TIMBULA	Kec. Bontotiro	4	2	5	3	10	5	-	-	-	-	-	-	-	
SD	SD NEGERI 319 LOKAJAHA	Kec. Bontotiro	14	18	15	13	10	12	-	-	-	-	-	-	-	
SD	SD NEGERI 9 TANAH KONGKONG	Kec. Ujung Bulu	44	42	44	31	37	38	-	-	-	-	-	-	-	
SD	SD NEGERI 19 MANYAMPA	Kec. Ujung Loe	23	29	23	23	32	26	-	-	-	-	-	-	-	
SD	SD NEGERI 244 SALASSAE	Kec. Bulukumpa	14	18	22	17	9	21	-	-	-	-	-	-	-	
SD	SD NEGERI 254 BANYORO	Kec. Herlang	11	11	13	14	13	14	-	-	-	-	-	-	-	
SD	SD NEGERI 263 TANAH LEMO	Kec. Bontobahari	28	18	25	24	28	20	-	-	-	-	-	-	-	
SD	SD NEGERI 157 PASARAYA	Kec. Bontobahari	27	25	27	41	32	23	-	-	-	-	-	-	-	
SD	SD NEGERI 130 BONTOBEANG	Kec. Herlang	26	10	17	15	22	10	-	-	-	-	-	-	-	
SD	SD NEGERI 320 MARAKKIUNG	Kec. Bontotiro	8	6	7	5	8	8	-	-	-	-	-	-	-	
SD	SD NEGERI 191 LEMBANNA	Kec. Kajang	22	14	7	5	8	11	-	-	-	-	-	-	-	
SD	SD NEGERI NO 6 KASUARA	Kec. Ujung Bulu	28	41	40	34	39	45	-	-	-	-	-	-	-	
SD	SD NEGERI 312 SAPAYA	Kec. Kajang	21	25	30	43	27	24	-	-	-	-	-	-	-	
SD	SD NEGERI 131 BONTO BANA	Kec. Herlang	11	21	16	16	15	21	-	-	-	-	-	-	-	
SD	SD NEGERI 86 LONGI	Kec. Rilau Ale	17	20	18	21	19	10	-	-	-	-	-	-	-	
SD	SD NEGERI 45 DAMPANG	Kec. Gantarang	26	17	19	25	31	24	-	-	-	-	-	-	-	
SD	SD NEGERI 120 BAJANG	Kec. Herlang	35	23	20	18	22	23	-	-	-	-	-	-	-	
SD	SD NEGERI 233 DAMPANG	Kec. Gantarang	25	24	20	29	15	30	-	-	-	-	-	-	-	
SD	SD NEGERI 72 BAMBAUNGANG	Kec. Bulukumpa	11	5	7	9	10	10	-	-	-	-	-	-	-	
SD	SD NEGERI 22 ALLU	Kec. Ujung Loe	30	28	30	35	35	30	-	-	-	-	-	-	-	
SD	SDN 353 ULUPARANG	Kec. Kindang	25	27	21	20	32	13	-	-	-	-	-	-	-	
SD	SD NEGERI 87 BUTTAKEKE	Kec. Rilau Ale	34	23	39	29	34	35	-	-	-	-	-	-	-	
SD	SD NEGERI 313 PAPINJENG	Kec. Kajang	11	15	11	17	15	15	-	-	-	-	-	-	-	
SD	SD NEGERI 88 BATUKAROPA	Kec. Rilau Ale	15	21	20	24	29	24	-	-	-	-	-	-	-	
SD	SD NEGERI 190 TANAH JAYA	Kec. Kajang	13	7	12	12	7	8	-	-	-	-	-	-	-	
SD	SD NEGERI 149 TAMALALA	Kec. Bontotiro	17	15	20	21	13	20	-	-	-	-	-	-	-	
SD	SD NEGERI 345 SAMAKORE	Kec. Bontotiro	11	12	8	7	13	17	-	-	-	-	-	-	-	
SD	SD NEGERI 161 ARA	Kec. Bontobahari	21	13	18	27	18	17	-	-	-	-	-	-	-	
SD	SD NEGERI 210 BONTOMINASA	Kec. Bulukumpa	27	22	32	41	27	20	-	-	-	-	-	-	-	
SD	SD NEGERI 91 MUNTE	Kec. Bulukumpa	12	18	13	16	16	13	-	-	-	-	-	-	-	
SD	SD NEGERI 64 BALANGBESSI	Kec. Bulukumpa	20	14	14	16	9	16	-	-	-	-	-	-	-	
SD	SD NEGERI 255 PARANGLOHE	Kec. Herlang	10	11	8	13	11	13	-	-	-	-	-	-	-	
SD	SD NEGERI 116 USA	Kec. Kajang	20	14	19	10	18	15	-	-	-	-	-	-	-	
SD	SD NEGERI 267 DAULELE	Kec. Kajang	19	14	20	17	17	18	-	-	-	-	-	-	-	
SD	SD NEGERI .172 BORONGKALUKUE	Kec. Ujung Bulu	52	49	50	43	52	39	-	-	-	-	-	-	-	
SD	SD NEGERI 256 KAJANG	Kec. Herlang	5	8	13	14	9	10	-	-	-	-	-	-	-	
SD	SD NEGERI 162 ARA	Kec. Bontobahari	19	25	12	17	18	17	-	-	-	-	-	-	-	
SD	SD NEGERI 153 TOMBOLO	Kec. Bontotiro	10	17	20	12	16	17	-	-	-	-	-	-	-	
