Jenjang,Sekolah,Kecematan,PNS,GTT,GTY,Honor
SMP,SMP NEGERI 27 BULUKUMBA,Kec. Herlang,5,0,0,13
SMP,SMP NEGERI 15 BULUKUMBA,Kec. Bulukumpa,14,0,0,6
SMP,SMP NEGERI 16 BULUKUMBA,Kec. Bulukumpa,11,0,0,14
SMP,SMP NEGERI SATAP 11 BULUKUMBA,Kec. Kindang,2,0,0,7
SMP,SMP NEGERI SATAP 2 BULUKUMBA,Kec. Bontotiro,4,0,0,6
SMP,SMP NEGERI 12 BULUKUMBA ,Kec. Ujung Loe,19,0,0,5
SMP,SMP ISLAM AL QALAM,Kec. Bulukumpa,0,0,5,1
SMP,SMP NEGERI 13 BULUKUMBA,Kec. Ujung Loe,5,0,0,11
SMP,SMP NEGERI SATAP 12 BULUKUMBA ,Kec. Kindang,1,0,0,7
SMP,SMP NEGERI SATAP 6 BULUKUMBA,Kec. Bontobahari,2,0,0,3
SMP,SMP NEGERI 7 BULUKUMBA,Kec. Gantarang,11,0,0,11
SMP,SMP NEGERI 26 HERLANG,Kec. Herlang,13,0,0,5
SMP,SMP NEGERI 36 BULUKUMBA,Kec. Kindang,7,0,0,10
SMP,SMP NEGERI 4 BULUKUMBA,Kec. Gantarang,35,0,0,9
SMP,SMP NEGERI SATAP 13 BULUKUMBA,Kec. Kindang,2,0,0,11
SMP,SMP MUHAMMADIYAH BULUKUMBA,Kec. Ujung Bulu,3,0,10,1
SMP,SMP NEGERI 17 BULUKUMBA,Kec. Bulukumpa,11,0,0,10
SMP,SMP NEGERI 44 BULUKUMBA,Kec. Bulukumpa,3,0,0,11
SMP,SMP NEGERI 37 BULUKUMBA,Kec. Kindang,9,0,0,10
SMP,SMP NEGERI 2 BULUKUMBA,Kec. Ujung Bulu,44,0,0,6
SMP,SMP NEGERI 48 BULUKUMBA,Kec. Gantarang,3,0,0,7
SMP,SMP AL GAZALI,Kec. Ujung Bulu,3,0,12,0
