Jenjang,Sekolah,Kecematan,PNS,GTT,GTY,Honor
SD,SD NEGERI 218 BATANG,Kec. Bontotiro,7,0,0,3
SD,SD NEGERI 209 TANETE,Kec. Bulukumpa,8,0,0,2
SD,SD NEGERI 107 MACCINI,Kec. Kajang,5,0,0,3
SD,SD NEGERI 111 KASSIBUTA,Kec. Kajang,8,0,0,0
SD,SD NEGERI 83 PANGI,Kec. Rilau Ale,8,0,0,0
SD,SD NEGERI 99 SALASSAE,Kec. Bulukumpa,5,0,0,2
SD,SD NEGERI 117 LEMBANG TUMBU,Kec. Herlang,8,0,0,2
SD,SD NEGERI 44 DAMPANG,Kec. Gantarang,11,0,0,5
SD,SD NEGERI 203 BONTOMACINNA,Kec. Gantarang,11,0,0,6
SD,SD NEGERI 39 BONTO NYELENG,Kec. Gantarang,8,0,0,6
SD,SD NEGERI 154 TULEKKO,Kec. Bontotiro,6,0,0,3
SD,SD NEGERI 38 GATTARENG,Kec. Gantarang,5,0,0,0
SD,SD NEGERI 85 BINGKARONGO,Kec. Rilau Ale,8,0,0,3
SD,SD NEGERI 46 MATTIROWALIE,Kec. Kindang,9,0,0,2
SD,SD NEGERI 40 BONTO NYELENG,Kec. Gantarang,5,0,0,8
SD,SD NEGERI 271 GARANTA,Kec. Ujung Loe,4,0,0,5
SD,SD NEGERI 47 ANRIHUA.,Kec. Kindang,4,0,0,5
SD,SD NEGERI 318 KARRINGA,Kec. Herlang,5,0,0,4
SD,SD NEGERI 269 BALLEANGING,Kec. Ujung Loe,3,0,0,6
SD,SD NEGERI 101 KAJANG II,Kec. Kajang,4,0,0,7
SD,SD NEGERI 225 ALLU,Kec. Ujung Loe,7,0,0,2
SD,SD NEGERI 36 BONTOSUNGGU,Kec. Gantarang,8,0,0,6
SD,SD NEGERI 305 TA GENTUNG,Kec. Bulukumpa,1,0,0,6
SD,SD NEGERI 177 BATUASANG,Kec. Herlang,5,0,0,5
SD,SD NEGERI 183 GARANTA,Kec. Ujung Loe,8,0,0,4
SD,SD NEGERI 66 BALANGRIRI,Kec. Bulukumpa,5,0,0,5
SD,SD NEGERI 79 LAJAE,Kec. Bulukumpa,7,0,0,1
SD,SD NEGERI 261 BILAMPOROA,Kec. Bontotiro,5,0,0,1
SD,SD NEGERI 84 PANGI,Kec. Rilau Ale,5,0,0,3
SD,SD NEGERI 34 BIALO,Kec. Gantarang,6,0,0,3
SD,SD NEGERI 133 HILA,Kec. Bontotiro,6,0,0,2
SD,SD NEGERI 349 MAMPUA,Kec. Ujung Loe,6,0,0,2
SD,SD NEGERI 146 MATTOANGIN,Kec. Bontotiro,6,0,0,3
SD,SD NEGERI 16 ULUTEDONG,Kec. Ujung Loe,6,0,0,1
SD,SD NEGERI 29 BONTOMACINNA,Kec. Gantarang,10,0,0,7
SD,SD NEGERI 80 BULUKUMPA,Kec. Bulukumpa,8,0,0,2
SD,SD NEGERI 61 BALLEANGING,Kec. Bulukumpa,8,0,0,0
SD,SD NEGERI 106 LABOJO,Kec. Kajang,5,0,0,3
SD,SD NEGERI 82 PALAMPANG,Kec. Rilau Ale,7,0,0,1
SD,SD NEGERI 3 KASIMPURENG,Kec. Ujung Bulu,24,0,0,7
SD,SD NEGERI 160TARAMPANG,Kec. Bontobahari,8,0,0,5
SD,SD NEGERI 221 TANAHKONGKONG,Kec. Ujung Bulu,20,0,0,1
SD,SD NEGERI 136 SALOBUNDANG,Kec. Bontotiro,8,0,0,1
SD,SD NEGERI 92 PANGALLOANG,Kec. Rilau Ale,3,0,0,7
SD,SD NEGERI 248 LAIKANG,Kec. Kajang,4,0,0,5
SD,SD NEGERI 298 CABALU,Kec. Gantarang,8,0,0,3
SD,SD NEGERI 14 BABANA,Kec. Ujung Loe,11,0,0,4
SD,SD NEGERI 11 KALUMEME,Kec. Ujung Bulu,13,0,0,3
SD,SD NEGERI 304 BATUHULANG,Kec. Bulukumpa,4,0,0,4
SD,SD NEGERI 69 ANNISIA,Kec. Bulukumpa,5,0,0,3
SD,SD NEGERI 170 LIUKANG LOE,Kec. Bontobahari,3,0,0,3
SD,SD NEGERI 68 TIBONA,Kec. Bulukumpa,6,0,0,2
SD,SD NEGERI 240 HARUE,Kec. Bulukumpa,7,0,0,2
SD,SD NEGERI 259 SAMBOANG,Kec. Bontotiro,3,0,0,6
SD,SD NEGERI 273 BORONGRAPPOA,Kec. Kindang,3,0,0,5
SD,SD NEGERI 232 DAMPANG,Kec. Gantarang,7,0,0,6
SD,SD NEGERI 344 ALORANG,Kec. Herlang,3,0,0,0
SD,SD NEGERI 289 TALUMAYA,Kec. Bontotiro,4,0,0,5
SD,SD NEGERI NO 93 MARANA,Kec. Rilau Ale,5,0,0,2
SD,SD NEGERI 96 GALUNG BODDONG,Kec. Bulukumpa,3,0,0,0
SD,SD NEGERI 303 PALIPUNGANG,Kec. Rilau Ale,2,0,0,7
SD,SD NEGERI 237 LEMBANG,Kec. Bulukumpa,4,0,0,1
SD,SD NEGERI 317 BORONG,Kec. Herlang,3,0,0,2
SD,SD NEGERI 140 KALERASANG,Kec. Bontotiro,3,0,0,4
SD,SD NEGERI 12 BABANA,Kec. Ujung Loe,9,0,0,0
SD,SD NEGERI 119 KARASSING,Kec. Herlang,5,0,0,4
SD,SD NEGERI 322 ELA,Kec. Ujung Bulu,9,0,0,2
SD,SD NEGERI 174 ANRIHUA,Kec. Kindang,4,0,0,8
SD,SD NEGERI 314 MARANA,Kec. Herlang,4,0,0,6
SD,SD NEGERI 197 SAPOLOHE,Kec. Bontobahari,9,0,0,5
SD,SD NEGERI 299 BONTO MACINNA,Kec. Gantarang,3,0,0,7
SD,SD NEGERI 166 BIRA,Kec. Bontobahari,5,0,0,3
SD,SD NEGERI 102 LAIKANG,Kec. Kajang,5,0,0,4
SD,SD NEGERI 292 BIRA,Kec. Bontobahari,3,0,0,5
SD,SD NEGERI 28 BONTOMACINNA,Kec. Gantarang,2,0,0,7
SD,SD NEGERI 308 BUNGAYA,Kec. Kajang,3,0,0,2
SD,SD NEGERI 278 PAKOMBONG,Kec. Bulukumpa,4,0,0,0
SD,SD NEGERI 125 SALIBANG,Kec. Herlang,2,0,0,2
SD,SD NEGERI 156 KALUKUBODO,Kec. Bontobahari,6,0,0,3
SD,SD NEGERI 43 MATTIROWALIE.,Kec. Kindang,6,0,0,3
SD,SD NEGERI 189 BARUGAE,Kec. Bulukumpa,8,0,0,6
SD,SD NEGERI 37 PALAMBARAE,Kec. Gantarang,12,0,0,7
SD,SD NEGERI 231 BONTONYELENG,Kec. Gantarang,3,0,0,6
SD,SD NEGERI 54 CAMPAGA,Kec. Kindang,4,0,0,5
SD,SD NEGERI 275 GATTARENG,Kec. Gantarang,4,0,0,7
SD,SD NEGERI 214 LOLISANG,Kec. Kajang,4,0,0,5
SD,SD NEGERI NO 279 TALLE,Kec. Rilau Ale,5,0,0,4
SD,SD NEGERI 272 BALLEANGING,Kec. Ujung Loe,6,0,0,4
SD,SD NEGERI 330 RAOE,Kec. Gantarang,8,0,0,5
SD,SD NEGERI 230 PALAMBARAE,Kec. Gantarang,11,0,0,7
SD,SD NEGERI 121 EREINUNG,Kec. Herlang,3,0,0,6
SD,SD NEGERI 333 TIBONA,Kec. Bulukumpa,3,0,0,7
SD,SD NEGERI 217 KARASSING,Kec. Herlang,4,0,0,4
SD,SD NEGERI 49 BORONGRAPPOA.,Kec. Kindang,6,0,0,5
SD,SD NEGERI 268 JANNAKEKE,Kec. Bontotiro,4,0,0,6
SD,SD NEGERI 229 GATTARENG,Kec. Gantarang,6,0,0,6
SD,SD NEGERI 32 BARABBA,Kec. Gantarang,8,0,0,4
SD,SD NEGERI 114 MALLELENG,Kec. Kajang,4,0,0,4
SD,SD NEGERI 75 PETTUNGE,Kec. Bulukumpa,3,0,1,7
SD,SD NEGERI 316 LASSANRU,Kec. Herlang,5,0,0,4
SD,SD NEGERI 78 BONTOA,Kec. Bulukumpa,4,0,0,2
SD,SD NEGERI 115 BALAGANA,Kec. Kajang,3,0,0,5
SD,SD NEGERI 204 GATTARENG,Kec. Gantarang,5,0,0,9
SD,SD NEGERI 155 TANAH BERU,Kec. Bontobahari,8,0,0,6
SD,SD NEGERI 207 DAMPANG,Kec. Gantarang,6,0,0,5
SD,SD NEGERI 71 BARUGAE,Kec. Bulukumpa,7,0,0,3
SD,SD NEGERI 243 ELLEE,Kec. Bulukumpa,4,0,0,3
SD,SD NEGERI 8 NIPA,Kec. Ujung Bulu,9,0,0,4
SD,SD NEGERI 285 DASSA,Kec. Kajang,3,0,0,5
SD,SD NEGERI 89 BATU KAROPA,Kec. Rilau Ale,6,0,0,5
SD,SD NEGERI 338 JAMPANG,Kec. Kajang,7,0,0,2
SD,SD NEGERI 77 BONTOBAJU,Kec. Bulukumpa,5,0,0,3
SD,SD NEGERI 235 BORONGRAPPOA,Kec. Kindang,5,0,0,0
SD,SD NEGERI 55 CIBOLLO,Kec. Kindang,6,0,0,2
SD,SD NEGERI 205 BONTOSUNGGU,Kec. Gantarang,5,0,0,5
SD,SD NEGERI 193 TANUNTUNG,Kec. Herlang,7,0,0,0
SD,SD NEGERI 348 DOAJANG,Kec. Bontobahari,6,0,0,5
SD,SD NEGERI 195 EKATIRO,Kec. Bontotiro,6,0,0,2
SLB,SLBS ABCD DARMAWANITA HERLANG,Kec. Herlang,4,0,14,0
SLB,SLB NEGERI BULUKUMBA,Kec. Ujung Bulu,24,0,0,6
