Jenis Perikanan,2011,2012,2013,2014,2015
i. Perikanan Laut,5373,5679,5679,5792,5792
ii. Perikanan Budidaya,4244,3807,4055,3952,3877
Tambak,1958,2249,163,195,120
Kolam,-,-,-,-,-
Sawah,-,-,-,-,-
Laut,1599,3572,1220,3757,3575
