Jenis Tanaman,Luas Panen (ha),Produksi (ton)
Karet,-,-
Kelapa,923,458.73
Cengkeh,-,-
Kopi,-,-
Lada,-,-
Pala,-,-
Kakao,124,42.37
Jambu,339,229
