Desa/Kelurahan,Sapi,Kuda,Kerbau,Kambing
Bira,66,-,-,327
Darubiah,669,13,-,390
Tanah Lemo,406,177,-,448
Ara,733,52,-,942
Lembanna,14,19,-,189
Tanah Beru,191,173,-,486
Sapolohe,102,17,7,115
Benjala,500,514,-,1216
Bonto Bahari,2861,965,7,4113
